,title,casts,description
40,恋战特工王,"赫里尼克·罗斯汉,卡特莉娜·卡芙,碧帕莎·芭素,罗恩·斯穆安伯格,丹尼·邓宗帕,Damian,Mavis,Javed,Jaffrey,Anteo,Quintavalle,Steven,Clarke,Parth,Akerkar",简介：《惊情谍变》剧情，美丽单纯的银行职员哈莉（卡特莉娜·卡芙饰 Katrina Kaif）在一次偶然的聚会中邂逅了性感帅气，绅士风度的阿杰（赫里尼克·罗斯汉饰 Hr...详情
41,除暴,"王千源,吴彦祖,春夏,卫诗雅,大力,于笑,胡子程,李晓川,洪浚嘉,纪焕博,庞雨浓,答有为,鲍起静,尤勇,王超北",简介：上世纪90年代，刑警钟诚受命追捕悍匪集团“老鹰帮”。这群悍匪犯下惊天连环劫案，训练有素且纪律严明，首领张隼更屡次恶意挑衅，矛头直指钟诚。为将“老鹰帮”捉拿归案，...详情
42,勇敢风暴,"大东骏介,渡部秀,山本千寻,坛蜜,藤田富",简介：1970年代的特攝英雄節目《銀假面》及《超級機器人 紅巴隆》TV放送後經過40年以上，2017年今年秋季真人電影化《BRAVE STORM ブレイブストーム》上...详情
43,狄仁杰之四大天王,"赵又廷,冯绍峰,林更新,阮经天",简介：狄仁杰（赵又廷 饰）大破神都龙王案，获御赐亢龙锏，并掌管大理寺，使他成为武则天（刘嘉玲 饰）走向权力之路最大的威胁。武则天为了消灭眼中钉，命令尉迟真金（冯绍峰 ...详情
44,古墓奇谭2穿越死亡海,"邱士鉴,赵叶索",简介：职业寻宝人“金三” 挪祖坟时在太爷爷金茂才的棺材里找到了一本日记，日记中记载着“苏东坡”的名词《密州出猎》的手稿真迹埋葬在蒙古草原的一个抗战时期日本地下工事里。...详情
45,动物世界,"李易峰,迈克尔·道格拉斯,周冬雨,曹炳琨",简介：男主角郑开司因被朋友欺骗而背负上数百万的债务，面对重病的母亲和痴心等待的青梅竹马，他决心登上“命运号”游轮，改变自己一事无成的人生。只要能在渡轮上的游戏中获胜，...详情
46,寻龙诀,"陈坤,黄渤,舒淇,杨颖",简介：上世纪80年代末，胡八一（陈坤 饰）、王凯旋（黄渤 饰）与Shirley杨（舒淇 饰）在美国打算金盆洗手，本来叱咤风云的摸金校尉沦为街头小贩被移民局追得满街跑。...详情
47,速度与激情8,"范·迪塞尔,道恩·强森,查理兹·塞隆,杰森·斯坦森,米歇尔·罗德里格兹,娜塔莉·伊曼纽尔,埃尔莎·帕塔奇,海伦·米伦",简介：多米尼克与莱蒂共度蜜月，布莱恩与米娅退出了赛车界，这支曾环游世界的顶级飞车家族队伍的生活正渐趋平淡。然而，一位神秘女子Cipher的出现，令整个队伍卷入信任与背...详情
48,血战钢锯岭,"梅尔·吉布森,安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩,雨果·维文,",简介：故事改编自二战上等兵军医戴斯蒙德·道斯的真实经历，他因为在冲绳岛战役中勇救75人生命而被授予美国国会荣誉勋章，同时也是首位获此荣誉的在战场上拒绝杀戮的医疗兵。...详情
49,21视记微电影计划,内详,简介：TA是设计师、演员、作家、音乐制作人……当他们以导演视角，用Galaxy S21系列去诠释一个时代的变化，将呈现怎样的精彩故事？三星Galaxy S21系列5G...详情
